site_no,No.Iso.Node,Sp.Richness,Basal,Predator,No.Link,Link.Density,Connectance,Nic.over.Con.Jac,Mean.Gen,Mean.TL,Omnivory,Coherence,Skew.Degree,Nestedness,Modularity,Size.Cluster.BG,Frac.Cluster.BG,Mean.ShortestPath,Basal.rand,Predator.rand,Skew.Degree.rand,Nic.over.Con.Jac.rand,Mean.Gen.rand,Mean.TL.rand,Omnivory.rand,Coherence.rand,Nestedness.rand,Modularity.rand,Size.Cluster.BG.rand,Frac.Cluster.BG.rand,Mean.ShortestPath.rand
27,1,98,54,41,854,8.714285714,0.088921283,0.155927034,7.981308411,2.192906546,0.291204979,0.535295603,1.265119272,30.08179738,0.266508739,46.1,0.470408163,2.528113286,0,98,-0.3280627,0.043086437,7.981308411,10.44273939,2.661594526,2.965763937,7.788604766,0.20413299,25.6,0.26122449,1.903165348
28,0,105,59,44,1035,9.857142857,0.093877551,0.142349556,9,2.195356532,0.287774674,0.520046734,1.10247136,28.88440106,0.266284153,56.11,0.534380952,2.615328798,0,105,0.05129503,0.0457857,9,9.66204928,2.641525965,2.933922114,8.985210556,0.183058646,31,0.295238095,1.868662132
29,1,95,46,46,851,8.957894737,0.094293629,0.151607688,8.182692308,2.239549279,0.313145091,0.515601054,1.044027086,27.59533581,0.262892445,50.48,0.531368421,2.773185596,0,95,-0.331005734,0.045908367,8.182692308,10.51916233,2.76376505,2.935460861,8.965265815,0.201995207,28.6,0.301052632,1.88565097
30,0,74,36,35,559,7.554054054,0.102081812,0.157600136,6.654761905,2.177741487,0.31643145,0.536568448,1.172357572,27.96725264,0.30452615,46.97,0.63472973,2.533235939,0,74,-0.069366164,0.047861727,6.654761905,7.862770907,2.493690028,2.643136859,8.969247309,0.223422507,28.24,0.381621622,1.907596786
31,0,83,47,33,604,7.277108434,0.087676005,0.164170271,6.494623656,2.111819157,0.280799325,0.506413271,1.264574939,25.25135735,0.299699686,45.6,0.54939759,3.120627087,0,83,-0.14032158,0.040197405,6.494623656,8.107390544,2.405095353,2.538185971,7.770000505,0.227052912,27.09,0.326385542,1.977064886
32,1,99,55,42,844,8.525252525,0.086113662,0.160852214,7.814814815,2.20604669,0.27975337,0.501495588,1.25584531,29.19127138,0.290638222,58.58,0.591717172,2.82358943,0,99,-0.258578127,0.039412494,7.814814815,10.78676663,2.66399286,3.012049207,7.763771362,0.208191802,26.88,0.271515152,1.910009183
33,0,81,42,37,614,7.580246914,0.093583295,0.15127713,6.747252747,2.188007169,0.315124773,0.520321148,1.305053362,25.99723341,0.266496361,37.02,0.457037037,2.79073312,0,81,-0.20172153,0.044713277,6.747252747,8.508315974,2.407527856,2.594143562,8.155586443,0.231273446,26.24,0.323950617,1.925011431
34,1,104,54,47,1049,10.08653846,0.096985947,0.151978486,9.283185841,2.24009874,0.30441288,0.543111114,1.098347764,30.26745942,0.281411119,61.39,0.590288462,2.538461538,0,104,0.043029143,0.047071116,9.283185841,8.886747725,2.463748858,2.610411727,9.110614921,0.186519316,31.78,0.305576923,1.861871302
35,1,94,47,45,803,8.542553191,0.090878225,0.139083293,7.796116505,2.256312691,0.325953719,0.543626129,1.131226731,27.3263296,0.281579886,45.17,0.480531915,2.829334541,0,94,-0.056937725,0.043570433,7.796116505,9.691246798,2.641049616,2.789707369,8.321948505,0.205059691,26.57,0.282659574,1.901765505
36,1,91,43,45,822,9.032967033,0.099263374,0.149536815,8.22,2.226309906,0.323627452,0.537671812,1.068943584,27.68388405,0.281149952,49.35,0.542307692,2.629634102,0,91,-0.553021699,0.046410822,8.22,10.97930427,2.626082833,3.014582611,9.14421667,0.19881096,26.33,0.289340659,1.856780582
